Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup,Instance_no_df2,Instance_name_df2,No. of Edges_df2,No. of Threads_df2,EPM_Time,Objective Function_EPM,Sol_Status_EPM
56,CARP_K13_g_graph.dat,393,421,10,unlimited,37.26,246581.0,integer optimal solution,29.9,4.7,34.6,246581.0,integer optimal solution,1.08,14,CARP_K13_g_graph.dat,421,unlimited,24.5,246581.0,integer optimal solution
57,CARP_K13_g_graph.dat,393,421,30,unlimited,191.25,83458.0,integer optimal solution,27.91,4.7,32.61,83458.0,integer optimal solution,5.86,15,CARP_K13_g_graph.dat,421,unlimited,17.29,83458.0,integer optimal solution
58,CARP_K13_g_graph.dat,393,421,40,unlimited,618.77,60820.0,integer optimal solution,30.22,4.7,34.92,60820.0,integer optimal solution,17.72,16,CARP_K13_g_graph.dat,421,unlimited,19.2,60820.0,integer optimal solution
59,CARP_K13_g_graph.dat,393,421,50,unlimited,238.7,44294.0,integer optimal solution,27.05,4.7,31.75,44294.0,integer optimal solution,7.52,17,CARP_K13_g_graph.dat,421,unlimited,16.89,44294.0,integer optimal solution
60,CARP_K13_g_graph.dat,393,421,100,unlimited,591.88,10478.0,integer optimal solution,28.0,4.7,32.7,10478.0,integer optimal solution,18.1,18,CARP_K13_g_graph.dat,421,unlimited,13.69,10478.0,integer optimal solution
61,CARP_K9_p_graph.dat,1735,2226,2,unlimited,9258.2,15368540.0,integer optimal solution,6539.98,158.1,6698.08,15368540.0,integer optimal solution,1.38,49,CARP_K9_p_graph.dat,2226,unlimited,8779.07,15368540.0,integer optimal solution
62,CARP_K9_p_graph.dat,1735,2226,10,unlimited,8248.59,5061748.0,integer optimal solution,5969.24,158.1,6127.34,5061748.0,integer optimal solution,1.35,50,CARP_K9_p_graph.dat,2226,unlimited,9603.96,5061748.0,integer optimal solution
63,CARP_K9_p_graph.dat,1735,2226,30,unlimited,9209.63,2363107.0,integer optimal solution,3696.25,158.1,3854.35,2363107.0,integer optimal solution,2.39,51,CARP_K9_p_graph.dat,2226,unlimited,9631.78,2363107.0,integer optimal solution
64,CARP_K9_p_graph.dat,1735,2226,40,unlimited,10410.56,1894302.0,integer optimal solution,2870.68,158.1,3028.78,1894302.0,integer optimal solution,3.44,52,CARP_K9_p_graph.dat,2226,unlimited,9038.12,1894302.0,integer optimal solution
65,CARP_K9_p_graph.dat,1735,2226,50,unlimited,12325.09,1589064.0,integer optimal solution,3190.22,158.1,3348.32,1589064.0,integer optimal solution,3.68,53,CARP_K9_p_graph.dat,2226,unlimited,8921.04,1589064.0,integer optimal solution
